ReachDiff,HeightDiff,AgeDif,WinStreakDif,LoseStreakDif,KODif,SubDif,WinDif,LossDif,Winner
5.08,7.62,-3,-6,0,-2,-4,-12,-3,RedFighter
-7.62,5.08,-3,2,0,2,-5,2,0,RedFighter
-2.54,7.62,2,3,0,2,-1,3,2,RedFighter
0.0,-2.54,6,0,1,0,0,-6,0,RedFighter
-5.08,2.54,-3,0,0,3,-2,-1,0,BlueFighter
-2.54,0.0,2,-1,1,3,5,8,8,RedFighter
5.08,5.08,0,4,-1,-7,-5,-11,-5,RedFighter
-2.54,0.0,5,-7,0,2,4,8,4,RedFighter
-2.54,-5.08,-4,0,0,0,-1,-7,-4,BlueFighter
-7.62,-2.54,-3,0,0,0,-3,-4,1,BlueFighter
-5.08,-5.08,-10,0,0,0,-1,-2,-3,BlueFighter
2.54,-5.08,2,0,0,3,-7,-4,1,RedFighter
10.16,15.24,-17,3,-2,0,-2,-13,-16,BlueFighter
-12.7,-2.54,0,-1,1,-6,0,-7,-1,RedFighter
2.54,-5.08,5,2,0,0,4,4,-1,RedFighter
-5.08,-10.16,-6,2,-1,-1,1,-2,-1,RedFighter
-2.54,-2.54,6,0,0,0,0,1,0,BlueFighter
0.0,0.0,-1,-1,0,-1,-1,-1,2,BlueFighter
5.08,5.08,-1,4,0,1,0,-1,-5,BlueFighter
10.16,5.08,8,-2,1,-2,0,-2,1,RedFighter
-12.7,-7.62,0,0,0,0,-1,0,-1,BlueFighter
-17.78,-12.7,-4,0,0,0,0,0,0,BlueFighter
15.24,12.7,-8,0,0,1,0,0,0,RedFighter
-10.16,2.54,5,-2,2,0,-1,1,3,BlueFighter
0.0,7.62,-2,-1,0,-1,0,-1,0,RedFighter
0.0,-5.08,7,0,0,0,0,-2,-1,RedFighter
-2.54,-7.62,7,0,0,1,0,0,0,BlueFighter
-10.16,0.0,5,-18,1,4,-6,-7,3,RedFighter
-7.62,-5.08,3,0,0,-1,-15,-18,-7,RedFighter
0.0,5.08,8,-5,2,2,2,4,8,RedFighter
-2.54,2.54,-7,5,-1,-1,4,-1,-5,RedFighter
-5.08,2.54,-3,-2,2,-2,0,-1,2,RedFighter
-2.54,0.0,4,3,-1,-2,1,-7,-4,BlueFighter
0.0,7.62,-5,0,0,-5,-10,-20,-12,RedFighter
-10.16,-7.62,-6,-2,0,-2,-1,-4,-2,RedFighter
2.54,2.54,-6,3,-1,-2,-1,-9,-8,RedFighter
-5.08,-10.16,-1,0,-2,0,-3,-4,-3,BlueFighter
0.0,2.54,-6,2,0,0,0,2,-1,BlueFighter
5.08,5.08,1,-3,1,1,0,-2,-3,BlueFighter
-5.08,-5.08,-6,4,-1,-2,-2,-18,-11,BlueFighter
2.54,7.62,-2,-2,0,-1,-11,-12,-9,BlueFighter
-2.54,-7.62,-2,1,-1,0,0,0,0,RedFighter
2.54,7.62,-2,2,-2,1,7,7,4,BlueFighter
-12.7,-2.54,3,-1,1,2,0,3,4,RedFighter
-2.54,-2.54,-15,1,-1,2,-1,-5,-6,BlueFighter
2.54,10.16,-9,0,-1,-3,-1,-10,-4,RedFighter
-7.62,-10.16,3,0,-2,-1,0,-3,-4,BlueFighter
20.32,10.16,-5,0,0,0,1,-5,-3,BlueFighter
10.16,15.24,3,-1,1,0,-1,-1,-1,RedFighter
2.54,2.54,-8,0,-1,0,0,-1,-1,RedFighter
-5.08,-5.08,1,5,-2,-2,-1,-4,-5,RedFighter
-2.54,2.54,7,2,-1,2,0,5,4,RedFighter
7.62,-2.54,-2,0,0,1,0,0,0,BlueFighter
2.54,2.54,5,2,-1,0,-1,0,-4,BlueFighter
2.54,-2.54,-2,0,-1,-1,0,-2,-2,BlueFighter
2.54,-2.54,0,0,1,2,-3,3,5,RedFighter
-7.62,-5.08,2,-4,2,1,3,5,7,RedFighter
-2.54,-5.08,9,2,-2,-1,-2,-3,-6,RedFighter
2.54,5.08,-1,2,-1,0,-1,-1,1,BlueFighter
12.7,0.0,-2,0,0,-1,-1,-1,-1,RedFighter
-5.08,-12.7,0,0,0,0,0,1,1,RedFighter
17.78,10.16,0,0,0,0,1,-1,3,BlueFighter
10.16,2.54,-4,1,-1,0,1,0,0,RedFighter
0.0,10.16,5,-4,0,7,1,15,7,RedFighter
5.08,5.08,-3,5,0,-4,3,-10,-5,BlueFighter
7.62,2.54,0,-10,2,-4,0,-4,2,RedFighter
-5.08,-5.08,0,-6,1,2,2,5,7,RedFighter
-5.08,2.54,3,-3,1,0,0,1,2,RedFighter
-2.54,0.0,6,-2,0,-2,0,-2,0,RedFighter
-12.7,-7.62,6,0,0,-1,4,13,10,RedFighter
20.32,7.62,-5,2,-1,-1,-1,-2,-1,RedFighter
-15.24,-10.16,-3,1,0,3,0,2,-1,RedFighter
-20.32,-20.32,6,1,-2,-3,-1,-6,-3,RedFighter
0.0,-2.54,4,-2,0,0,0,-2,0,RedFighter
0.0,5.08,7,0,2,4,0,2,3,RedFighter
0.0,-2.54,-3,-4,0,0,-1,-4,0,RedFighter
-5.08,2.54,0,3,0,1,-1,3,0,RedFighter
2.54,0.0,-8,3,-2,-4,0,-3,-6,RedFighter
5.08,-2.54,-5,-3,2,-1,0,-2,-1,RedFighter
-2.54,5.08,-1,-1,1,-1,-2,-4,-2,BlueFighter
-5.08,-7.62,-1,-1,2,-3,1,-13,-3,RedFighter
-2.54,-5.08,-1,3,-2,-1,0,-4,-3,BlueFighter
10.16,0.0,-7,1,0,0,1,-2,-3,BlueFighter
-5.08,-5.08,-3,0,0,1,0,-3,-2,RedFighter
-10.16,-5.08,-10,0,-1,-1,-3,-3,-2,BlueFighter
-10.16,2.54,5,0,0,0,0,0,0,RedFighter
10.16,2.54,0,0,-1,0,0,0,-2,RedFighter
5.08,-5.08,-8,5,0,1,-1,0,-3,RedFighter
-2.54,-7.62,-3,0,0,-2,3,-8,-6,BlueFighter
-7.62,-7.62,-5,0,0,-2,1,-2,1,RedFighter
-5.08,-7.62,0,1,0,-1,-4,-6,2,RedFighter
-5.08,-5.08,-3,0,-2,0,1,5,3,RedFighter
-12.7,-5.08,-6,0,-1,-2,0,-4,-3,BlueFighter
-2.54,-10.16,1,0,-1,-3,1,-1,-1,BlueFighter
