Event Id,Match Id,Fight Date,Red Fighter,Red Fighter Moneyline Odds,Red Fighter Knockout Odds,Red Fighter Submission Odds,Red Fighter Points Odds,Red Fighter Knockdowns,Red Fighter Total Strikes Landed,Red Figher Total Strikes Thrown,Red Fighter Significant Strikes Landed,Red Fighter Significant Strikes Thrown,Red Fighter Head Strikes Landed,Red Fighter Head Strikes Thrown,Red Fighter Body Strikes Landed,Red Fighter Body Strikes Thrown,Red Fighter Leg Strikes Landed,Red Fighter Leg Strikes Thrown,Red Fighter Takedowns Landed,Red Fighter Takedowns Attempted,Red Fighter Control Time,Red Fighter Submission Attempts,Blue Fighter,Blue Fighter Moneyline Odds,Blue Fighter Knockout Odds,Blue Fighter Submission Odds,Blue Fighter Points Odds,Blue Fighter Knockdowns,Blue Fighter Total Strikes Landed,Blue Figher Total Strikes Thrown,Blue Fighter Significant Strikes Landed,Blue Fighter Significant Strikes Thrown,Blue Fighter Head Strikes Landed,Blue Fighter Head Strikes Thrown,Blue Fighter Body Strikes Landed,Blue Fighter Body Strikes Thrown,Blue Fighter Leg Strikes Landed,Blue Fighter Leg Strikes Thrown,Blue Fighter Takedowns Landed,Blue Fighter Takedowns Attempted,Blue Fighter Control Time,Blue Fighter Submission Attempts,Winner,Division,Is Main Event,Is Title Fight,Victory Method,Short Method,Score Cards,Card Type
400255729,158197,1993-11-13T02:00Z,Gerard Gordeau,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,Royce Gracie,,,,,0,3,4,1,2,1,1,0,0,0,1,1,3,0:00,1,Royce Gracie,Open Weight,True,True,Submission,Sub,,Main Card
400255729,158199,1993-11-13T02:00Z,Trent Jenkins,,,,,0,1,7,1,7,0,5,0,1,1,1,0,0,0:00,0,Jason DeLucia,,,,,0,3,9,3,9,3,7,0,1,0,1,1,2,0:00,1,Jason DeLucia,Open Weight,False,False,Submission,Sub,,Main Card
400255729,158195,1993-11-13T02:00Z,Royce Gracie,,,,,0,12,12,0,0,0,0,0,0,0,0,0,1,0:00,1,Ken Shamrock,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0:00,0,Royce Gracie,Open Weight,False,False,Submission,Sub,,Main Card
400255729,158193,1993-11-13T02:00Z,Gerard Gordeau,,,,,1,11,17,11,17,7,13,1,1,3,3,0,0,0:00,0,Kevin Rosier,,,,,0,0,3,0,3,0,1,0,1,0,1,0,0,0:00,0,Gerard Gordeau,Open Weight,False,False,Knockout,KO/TKO,,Main Card
400255729,158198,1993-11-13T02:00Z,Ken Shamrock,,,,,0,4,4,1,1,1,1,0,0,0,0,1,2,0:00,2,Patrick Trey Smith,,,,,0,16,20,4,8,1,4,1,1,2,3,0,0,0:00,0,Ken Shamrock,Open Weight,False,False,Submission,Sub,,Main Card
400255729,158196,1993-11-13T02:00Z,Royce Gracie,,,,,0,4,7,0,3,0,1,0,0,0,2,1,1,0:00,0,Art Jimmerson,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,Royce Gracie,Open Weight,False,False,Submission,Sub,,Main Card
400255729,158194,1993-11-13T02:00Z,Zane Frazier,,,,,0,13,29,12,28,7,19,3,6,2,3,0,0,0:00,0,Kevin Rosier,,,,,2,38,53,15,27,12,23,3,4,0,0,0,0,0:00,0,Kevin Rosier,Open Weight,False,False,Knockout,KO/TKO,,Main Card
400255729,158192,1993-11-13T02:00Z,Gerard Gordeau,,,,,0,3,5,3,5,3,5,0,0,0,0,0,0,0:00,0,Teila Tuli,,,,,0,0,1,0,1,0,1,0,0,0,0,0,1,0:00,0,Gerard Gordeau,Open Weight,False,False,Knockout,KO/TKO,,Main Card
400255726,159664,1994-03-12T02:00Z,Royce Gracie,,,,,0,11,11,4,4,3,3,0,0,1,1,1,2,0:00,0,Patrick Trey Smith,,,,,0,2,3,1,2,0,0,1,2,0,0,0,0,0:00,0,Royce Gracie,Open Weight,True,True,Knockout,KO/TKO,,Main Card
400255726,162366,1994-03-12T02:00Z,Royce Gracie,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2,0:00,1,Remco Pardoel,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,Royce Gracie,Open Weight,False,False,Submission,Sub,,Main Card
